,short_title,icd9_code,long_title
0,TB pneumonia-oth test,01166,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1,TB pneumothorax-unspec,01170,"Tuberculous pneumothorax, unspecified"
2,TB pneumothorax-no exam,01171,"Tuberculous pneumothorax, bacteriological or histological examination not done"
3,TB pneumothorx-exam unkn,01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
4,TB pneumothorax-micro dx,01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
5,TB pneumothorax-cult dx,01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
6,TB pneumothorax-histo dx,01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
7,TB pneumothorax-oth test,01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
8,Pulmonary TB NEC-unspec,01180,"Other specified pulmonary tuberculosis, unspecified"
9,Pulmonary TB NEC-no exam,01181,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
10,Pulmon TB NEC-exam unkn,01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
11,Pulmon TB NEC-micro dx,01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
12,Pulmon TB NEC-cult dx,01184,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
13,Pulmon TB NEC-histo dx,01185,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
14,Pulmon TB NEC-oth test,01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
15,Pulmonary TB NOS-unspec,01190,"Pulmonary tuberculosis, unspecified, unspecified"
16,Pulmonary TB NOS-no exam,01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
17,Pulmon TB NOS-exam unkn,01192,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
18,Pulmon TB NOS-micro dx,01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
19,Pulmon TB NOS-cult dx,01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
20,Pulmon TB NOS-histo dx,01195,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
21,Pulmon TB NOS-oth test,01196,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
22,TB pleurisy-unspec,01200,"Tuberculous pleurisy, unspecified"
23,TB pleurisy-no exam,01201,"Tuberculous pleurisy, bacteriological or histological examination not done"
24,TB pleurisy-exam unkn,01202,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
25,TB pleurisy-micro dx,01203,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
26,TB pleurisy-cult dx,01204,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
27,TB pleurisy-histolog dx,01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
28,TB pleurisy-oth test,01206,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
29,TB thoracic nodes-unspec,01210,"Tuberculosis of intrathoracic lymph nodes, unspecified"
30,TB thorax node-no exam,01211,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
31,TB thorax node-exam unkn,01212,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
32,TB thorax node-micro dx,01213,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
33,TB thorax node-cult dx,01214,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
34,TB thorax node-histo dx,01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
35,TB thorax node-oth test,01216,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
36,Isol tracheal tb-unspec,01220,"Isolated tracheal or bronchial tuberculosis, unspecified"
37,Isol tracheal tb-no exam,01221,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
38,Isol trach tb-exam unkn,01222,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
39,Isolat trach tb-micro dx,01223,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
40,Isol tracheal tb-cult dx,01224,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
41,Isolat trach tb-histo dx,01225,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
42,Isolat trach tb-oth test,01226,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
43,TB laryngitis-unspec,01230,"Tuberculous laryngitis, unspecified"
44,TB laryngitis-no exam,01231,"Tuberculous laryngitis, bacteriological or histological examination not done"
45,TB laryngitis-exam unkn,01232,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
46,TB laryngitis-micro dx,01233,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
47,TB laryngitis-cult dx,01234,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
48,TB laryngitis-histo dx,01235,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
49,TB organ NEC-exam unkn,01792,"Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
50,TB laryngitis-oth test,01236,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
51,Resp TB NEC-unspec,01280,"Other specified respiratory tuberculosis, unspecified"
52,Resp TB NEC-no exam,01281,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
53,Resp TB NEC-exam unkn,01282,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
54,Resp TB NEC-micro dx,01283,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
55,Resp TB NEC-cult dx,01284,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
56,Resp TB NEC-histo dx,01285,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
57,Resp TB NEC-oth test,01286,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
58,TB meningitis-unspec,01300,"Tuberculous meningitis, unspecified"
59,TB meningitis-no exam,01301,"Tuberculous meningitis, bacteriological or histological examination not done"
60,Cholera d/t vib cholerae,0010,Cholera due to vibrio cholerae
61,Cholera d/t vib el tor,0011,Cholera due to vibrio cholerae el tor
62,Cholera NOS,0019,"Cholera, unspecified"
63,Typhoid fever,0020,Typhoid fever
64,Paratyphoid fever a,0021,Paratyphoid fever A
65,Paratyphoid fever b,0022,Paratyphoid fever B
66,Paratyphoid fever c,0023,Paratyphoid fever C
67,Paratyphoid fever NOS,0029,"Paratyphoid fever, unspecified"
68,Salmonella enteritis,0030,Salmonella gastroenteritis
69,Salmonella septicemia,0031,Salmonella septicemia
70,Local salmonella inf NOS,00320,"Localized salmonella infection, unspecified"
71,Salmonella meningitis,00321,Salmonella meningitis
72,Salmonella pneumonia,00322,Salmonella pneumonia
73,Salmonella arthritis,00323,Salmonella arthritis
74,Salmonella osteomyelitis,00324,Salmonella osteomyelitis
75,Local salmonella inf NEC,00329,Other localized salmonella infections
76,Salmonella infection NEC,0038,Other specified salmonella infections
77,Salmonella infection NOS,0039,"Salmonella infection, unspecified"
78,Shigella dysenteriae,0040,Shigella dysenteriae
79,Shigella flexneri,0041,Shigella flexneri
80,Shigella boydii,0042,Shigella boydii
81,Shigella sonnei,0043,Shigella sonnei
82,Shigella infection NEC,0048,Other specified shigella infections
83,Shigellosis NOS,0049,"Shigellosis, unspecified"
84,Staph food poisoning,0050,Staphylococcal food poisoning
85,Botulism food poisoning,0051,Botulism food poisoning
86,Food pois d/t c. perfrin,0052,Food poisoning due to Clostridium perfringens (C. welchii)
87,Food pois: clostrid NEC,0053,Food poisoning due to other Clostridia
88,Food pois: v. parahaem,0054,Food poisoning due to Vibrio parahaemolyticus
89,Food poisn d/t v. vulnif,00581,Food poisoning due to Vibrio vulnificus
90,Bact food poisoning NEC,00589,Other bacterial food poisoning
91,Food poisoning NOS,0059,"Food poisoning, unspecified"
92,Ac amebiasis w/o abscess,0060,Acute amebic dysentery without mention of abscess
93,Chr amebiasis w/o absces,0061,Chronic intestinal amebiasis without mention of abscess
94,Amebic nondysent colitis,0062,Amebic nondysenteric colitis
95,TB fem gen NEC-oth test,01676,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
96,Gu TB NOS-unspec,01690,"Genitourinary tuberculosis, unspecified, unspecified"
97,Gu TB NOS-no exam,01691,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done"
98,Gu TB NOS-exam unkn,01692,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
99,Gu TB NOS-micro dx,01693,"Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
100,Gu TB NOS-cult dx,01694,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
101,Gu TB NOS-histo dx,01695,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
102,Gu TB NOS-oth test,01696,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
103,TB skin/subcutan-unspec,01700,"Tuberculosis of skin and subcutaneous cellular tissue, unspecified"
104,TB skin/subcut-no exam,01701,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done"
105,TB skin/subcut-exam unkn,01702,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)"
106,TB skin/subcut-micro dx,01703,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy"
107,TB skin/subcut-cult dx,01704,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
108,TB skin/subcut-histo dx,01705,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
109,TB skin/subcut-oth test,01706,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
110,Erythema nodos tb-unspec,01710,"Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
111,Erythem nodos tb-no exam,01711,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done"
112,Erythem nod tb-exam unkn,01712,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)"
113,Erythem nod tb-micro dx,01713,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy"
114,Erythem nodos tb-cult dx,01714,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
115,Erythem nod tb-histo dx,01715,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
116,Erythem nod tb-oth test,01716,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
117,TB periph lymph-unspec,01720,"Tuberculosis of peripheral lymph nodes, unspecified"
118,TB periph lymph-no exam,01721,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
119,TB periph lymph-exam unk,01722,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)"
120,TB periph lymph-micro dx,01723,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
121,TB periph lymph-cult dx,01724,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
122,TB periph lymph-histo dx,01725,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
123,TB periph lymph-oth test,01726,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
