,icd9_code,short_title,long_title
0,0851,Canthotomy,Canthotomy
1,0852,Blepharorrhaphy,Blepharorrhaphy
2,0859,Adjust lid position NEC,Other adjustment of lid position
3,0861,Lid reconst w skin graft,Reconstruction of eyelid with skin flap or graft
4,0862,Lid reconst w muc graft,Reconstruction of eyelid with mucous membrane flap or graft
5,0863,Lid reconst w hair graft,Reconstruction of eyelid with hair follicle graft
6,0864,Lid recon-tarsoconj flap,Reconstruction of eyelid with tarsoconjunctival flap
7,0869,Lid reconstr w graft NEC,Other reconstruction of eyelid with flaps or grafts
8,0870,Lid reconstruction NOS,"Reconstruction of eyelid, not otherwise specified"
9,0871,Lid marg recon-part thic,"Reconstruction of eyelid involving lid margin, partial-thickness"
10,0872,Lid recons-part thic NEC,"Other reconstruction of eyelid, partial-thickness"
11,0873,Lid marg recons ful thic,"Reconstruction of eyelid involving lid margin, full-thickness"
12,0874,Lid reconst-ful thic NEC,"Other reconstruction of eyelid, full-thickness"
13,0881,Linear rep lid lacer,Linear repair of laceration of eyelid or eyebrow
14,0882,Lid marg lac rx-part th,"Repair of laceration involving lid margin, partial-thickness"
15,0883,Lid lacer rx-prt th NEC,"Other repair of laceration of eyelid, partial-thickness"
16,0884,Lid marg lac rx-ful thic,"Repair of laceration involving lid margin, full-thickness"
17,0885,Lid lac rx-ful thic NEC,"Other repair of laceration of eyelid, full-thickness"
18,0886,Lower lid rhytidectomy,Lower eyelid rhytidectomy
19,0887,Upper lid rhytidectomy,Upper eyelid rhytidectomy
20,0889,Eyelid repair NEC,Other eyelid repair
21,0891,Electrosurg lid epilat,Electrosurgical epilation of eyelid
22,0892,Cryosurg lid epilation,Cryosurgical epilation of eyelid
23,0893,Eyelid epilation NEC,Other epilation of eyelid
24,0899,Eyelid operation NEC,Other operations on eyelids
25,090,Lacrimal gland incision,Incision of lacrimal gland
26,0911,Lacrimal gland biopsy,Biopsy of lacrimal gland
27,0912,Lacrimal sac biopsy,Biopsy of lacrimal sac
28,0919,Lacrimal sys dx proc NEC,Other diagnostic procedures on lacrimal system
29,0920,Exc lacrimal gland NOS,"Excision of lacrimal gland, not otherwise specified"
30,0921,Excis les lacrimal gland,Excision of lesion of lacrimal gland
31,0922,Part dacryoadenect NEC,Other partial dacryoadenectomy
32,0923,Total dacryoadenectomy,Total dacryoadenectomy
33,093,Other lacrimal gland ops,Other operations on lacrimal gland
34,0941,Lacrimal punctum probe,Probing of lacrimal punctum
35,0942,Lac canaliculi probe,Probing of lacrimal canaliculi
36,0943,Nasolacrimal duct probe,Probing of nasolacrimal duct
37,0944,Nasolac duct intubat,Intubation of nasolacrimal duct
38,0949,Lac passage manip NEC,Other manipulation of lacrimal passage
39,0951,Lac punctum incision,Incision of lacrimal punctum
40,0952,Lac canaliculi incision,Incision of lacrimal canaliculi
