"Code","Descriptor","CodeSystem"
"1.09E+15","Salmonella pyelonephritis (disorder)","SNOMEDCT"
"1.27E+14","Severe sepsis with acute organ dysfunction caused by Salmonella (disorder)","SNOMEDCT"
"186134009","Infection of gastrointestinal tract by Salmonella enterica subspecies arizonae (disorder)","SNOMEDCT"
"2523007","Salmonella pneumonia (disorder)","SNOMEDCT"
"276288002","Recurrent salmonella septicemia (disorder)","SNOMEDCT"
"302229004","Salmonella food poisoning (disorder)","SNOMEDCT"
"302231008","Salmonella infection (disorder)","SNOMEDCT"
"397503006","Salmonella enterica subspecies arizonae infection (disorder)","SNOMEDCT"
"402962004","Salmonella infection with skin involvement (disorder)","SNOMEDCT"
"420764009","Salmonella infection associated with acquired immunodeficiency syndrome (disorder)","SNOMEDCT"
"42338000","Salmonella gastroenteritis (disorder)","SNOMEDCT"
"449083008","Sepsis caused by Salmonella (disorder)","SNOMEDCT"
"47375003","Localized Salmonella infection (disorder)","SNOMEDCT"
"6803002","Salmonella osteomyelitis (disorder)","SNOMEDCT"
"71299003","Salmonella arthritis (disorder)","SNOMEDCT"
"713342008","Infection caused by Salmonella co-occurrent with human immunodeficiency virus infection (disorder)","SNOMEDCT"
"714083007","Recurrent salmonella sepsis co-occurrent with human immunodeficiency virus infection (disorder)","SNOMEDCT"
"77645007","Salmonella meningitis (disorder)","SNOMEDCT"
"0030","Salmonella enteritis","ICD9CM"
"99591","Salmonella sepsis","ICD9CM"
"0031","Salmonella sepsis","ICD9CM"
"00320","Localized salmonella infection, unspecified","ICD9CM"
"00321","Salmonella meningitis","ICD9CM"
"00322","Salmonella pneumonia","ICD9CM"
"00323","Salmonella arthritis","ICD9CM"
"00324","Salmonella osteomyelitis","ICD9CM"
"00329","Salmonella pyelonephritis","ICD9CM"
"00329","Salmonella with other localized infection","ICD9CM"
"0038","Other specified salmonella infections","ICD9CM"
"0039","Salmonella infection, unspecified","ICD9CM"
"17563-8","Salmonella sp identified in Unspecified specimen by Organism specific culture","LOINC"
"20951-0","Salmonella sp serotype [Identifier] in Isolate by Agglutination","LOINC"
